text,intent,category,priority
Look for coupons or discounts on toothpaste,Todo,Shopping,Low
Research compiler design for the upcoming Computer Science project,Todo,Study,Medium
Remind me to sign up for the Literature workshop by in 3 days,Reminder,Study,High
Model name for charger I want to buy: Version 5,Note,Shopping,Low
Gift ideas for Chris: book about thermodynamics or a warm scarf,Note,Shopping,Low
Remember to prepare for the Art History exam on at 9 PM,Reminder,Study,High
Don't forget the tutorial session on industrial revolution at midnight,Reminder,Study,Medium
Set a reminder to order refills of Metformin by this weekend,Reminder,Health,High
Schedule a kickoff meeting for Project Helix,Task,Work,Medium
Schedule a quick alignment call with Sarah about modernism,Todo,Work,Medium
Concept definition: modernism is defined as cell reproduction,Note,Study,Low
Update the project wiki documentation for Phoenix,Todo,Work,Low
Don't forget to RSVP to Olivia's dinner invitation by next week,Reminder,Personal,Medium
grocery inventory list: need to buy bananas next time,Note,Shopping,Low
Meeting minutes from design sync: inspired by a recent podcast,Note,Work,Low
Remind me to sign up for the Math workshop by next week,Reminder,Study,High
Research macroeconomics for the upcoming Physics project,Todo,Study,Medium
Movie wishlist: watch the new documentary about neural networks,Note,Personal,Low
Check stock availability for phone at the retail store,Todo,Shopping,Low
Pick up my prescription medicine Lipitor from pharmacy by next week,Task,Health,High
Research prices for a speaker online,Todo,Shopping,Low
Gift ideas for David: book about neural networks or a warm scarf,Note,Shopping,Low
Remind me to buy a birthday card for Alex on Friday,Reminder,Shopping,Medium
Set a reminder to purchase anniversary flowers on July 5th,Reminder,Shopping,High
Research macroeconomics for the upcoming Literature project,Todo,Study,Medium
Hobby idea summary: sketching looks very interesting,Note,Personal,Low
Concept definition: photosynthesis is defined as memory allocation structures,Note,Study,Low
Watch the tutorial video on industrial revolution,Todo,Study,Low
Don't forget the group study session for History at 10:30 AM on at 9 PM,Reminder,Study,Medium
Formula list for Math includes neural networks equations,Note,Study,Low
Study Calculus for 5 hours today,Todo,Study,Medium
Summarize the lecture notes on quantum physics for Biology,Todo,Study,Medium
Summarize the lecture notes on thermodynamics for Art History,Todo,Study,Medium
Finish the Chemistry project report and upload it,Task,Study,Medium
Remind me of the marketing project status meeting at 4:15 PM,Reminder,Work,Medium
Pick up chicken and some coffee on my way home,Task,Shopping,Low
Remember to pack suitcases before the trip on tonight,Reminder,Personal,High
Research organic synthesis for the upcoming Physics project,Todo,Study,Medium
Remind me to take my Amoxicillin at midnight tonight at 8 PM,Reminder,Health,High
Set a reminder for the auto-debit of Adobe Creative Cloud on next Monday,Reminder,Finance,Medium
Brainstorm ideas for the new marketing campaign for Titan,Todo,Work,Medium
"Shopping wishlist: tablet, tablet, and a new bag",Note,Shopping,Low
Concept definition: macroeconomics is defined as recursion algorithms tonight at 8 PM,Note,Study,Low
Draft the email reply to Acme Corp regarding updates tonight at 8 PM,Todo,Work,Medium
Review the pull request for the billing module,Task,Work,Medium
Remind me to take my Ibuprofen at midnight,Reminder,Health,High
List of favorite songs to learn on the flute,Note,Personal,Low
Gift ideas for Jessica: book about compiler design or a warm scarf,Note,Shopping,Low
Study History for 2 hours today this Friday at 3pm,Todo,Study,Medium
Prepare the presentation deck for the marketing meeting,Task,Work,High
Prepare the presentation deck for the HR meeting,Task,Work,High
Key takeaways from the tech workshop on industrial revolution,Note,Work,Low
Sizes list: James wears shoe size 9 and shirt size M,Note,Shopping,Low
Set a reminder for the design sync with Sophia on at 9 PM,Reminder,Work,Medium
Subscription cost tracker: Gym Membership costs $50 per month,Note,Finance,Low
Don't forget the therapy appointment with Emma at 10:30 AM,Reminder,Health,High
Formula list for History includes data structures equations,Note,Study,Low
Subscription cost tracker: Amazon Prime costs $15 per month,Note,Finance,Low
Remind me to take my Aspirin at 8:00 PM next Monday at noon,Reminder,Health,High
Listen to educational podcast about macroeconomics tomorrow morning,Todo,Study,Low
Draft the email reply to Soylent Corp regarding updates,Todo,Work,Medium
Key takeaways from the tech workshop on modernism,Note,Work,Low
Set a reminder for performance review with Sarah on in 3 days tonight at 8 PM,Reminder,Work,High
Remember to prepare for the Math exam on next week,Reminder,Study,High
Remind me to buy a birthday card for Emma on next week,Reminder,Shopping,Medium
Project details: Titan aims to rebuild the auth service,Note,Work,Low
Pick up my prescription medicine Metformin from pharmacy,Task,Health,High
Sizes list: Olivia wears shoe size 9 and shirt size M this Friday at 3pm,Note,Shopping,Low
Look for coupons or discounts on light bulbs,Todo,Shopping,Low
Set a reminder for the auto-debit of Spotify on tonight,Reminder,Finance,Medium
Remind me to cancel the Zoom subscription before next Monday (low priority though),Reminder,Finance,Low
Project details: Phoenix aims to rebuild the payment service,Note,Work,Low
ASAP: Subscription cost tracker: Spotify costs $100 per month,Note,Finance,High
Remember to call Emily about the client contract on in 3 days tomorrow morning,Reminder,Work,Medium
Don't forget the tutorial session on cryptography at 5:00 PM,Reminder,Study,Medium
Submit expense report for Genesis reimbursement,Task,Finance,High
Formula list for Economics includes ancient civilization equations,Note,Study,Low
Remind me to return the Biology library book by tonight,Reminder,Study,Medium
Set a reminder for the design sync with Daniel on July 5th,Reminder,Work,Medium
Savings plan: save $1200 by the end of February,Note,Finance,Medium
Subscription cost tracker: Zoom costs $50 per month,Note,Finance,Low
Call Daniel to catch up on weekend plans,Task,Personal,Medium
Restock on light bulbs and laundry detergent,Task,Shopping,Low
Notes from today's lecture on data structures: will double check the figures,Note,Study,Low
Read pages 10 to 4 of the Calculus textbook,Todo,Study,Medium
Research competitor products in the marketing space by next week,Todo,Work,Low
Draft the email reply to Stark Industries regarding updates,Todo,Work,Medium
Summary of discussion with Olivia about industrial revolution,Note,Work,Low
Send the draft contract to Globex for review,Task,Work,High
Don't forget the therapy appointment with Jessica at 10:30 AM by next week,Reminder,Health,High
Revise the syllabus for History,Task,Study,Low
Summary of discussion with Emily about compiler design,Note,Work,Low
"Shopping wishlist: smartwatch, headphones, and a new bag",Note,Shopping,Low
Brainstorm ideas for the new marketing campaign for Apollo,Todo,Work,Medium
Savings plan: save $500 by the end of June,Note,Finance,Medium
Call Chris to catch up on weekend plans,Task,Personal,Medium
Email the professor regarding Economics questions,Task,Study,Medium
Medical insurance policy number: 12150,Note,Health,Medium
Email the professor regarding Art History questions,Task,Study,Medium
Remind me to sign up for the Art History workshop by Friday,Reminder,Study,High
Watch the tutorial video on thermodynamics tonight at 8 PM,Todo,Study,Low
Remind me to call Isabella on their birthday next week,Reminder,Personal,Medium
Set a reminder for the auto-debit of GitHub on next week,Reminder,Finance,Medium
Deploy the new version of dashboard to production tomorrow morning,Task,Work,High
Professor mentioned that thermodynamics will be on the final exam,Note,Study,Medium
Remind me to check stock prices for AAPL at noon,Reminder,Finance,Low
Sizes list: Michael wears shoe size 9 and shirt size M,Note,Shopping,Low
ASAP: Set a reminder to write the daily journal entry at 4:15 PM,Reminder,Personal,High
Remind me to ask Alex for Art History study guides,Reminder,Study,Low
Set a reminder for the auto-debit of Gym Membership on at 9 PM,Reminder,Finance,Medium
Set a reminder for the design sync with Chris on tonight,Reminder,Work,Medium
Set a reminder to write the daily journal entry at 9:00 AM,Reminder,Personal,Low
"Shopping wishlist: laptop, smartwatch, and a new bag tonight at 8 PM",Note,Shopping,Low
Study Biology for 2 hours today,Todo,Study,Medium
Buy eggs and pasta from the local supermarket,Task,Shopping,Low
Write unit tests for the user profile controllers,Task,Work,Medium
Set a reminder for the design sync with James on tonight,Reminder,Work,Medium
Useful study resource for Biology: http://arxiv.org/abs/1234,Note,Study,Low
Write unit tests for the search engine controllers,Task,Work,Medium
Remember to submit the tax documents by tonight,Reminder,Finance,High
Set a reminder to order refills of Aspirin by in 3 days,Reminder,Health,High
Cancel the unused trial subscription to Adobe Creative Cloud,Task,Finance,Medium
Update the client onboarding document for Globex,Task,Work,Medium
Summarize the lecture notes on compiler design for Math,Todo,Study,Medium
Prepare slides for Physics presentation,Task,Study,High
Remember to call Alex about the client contract on tonight,Reminder,Work,Medium
Remind me to return the Physics library book by tomorrow,Reminder,Study,Medium
Bucket list ideas: visit Tokyo and learn to play the ukulele,Note,Personal,Low
Savings plan: save $50 by the end of January,Note,Finance,Medium
Remind me to call Jessica on their birthday next week,Reminder,Personal,Medium
Set a reminder for the design sync with Emily on tonight,Reminder,Work,Medium
Shopping list notes: check if we have enough light bulbs at home next Monday at noon,Note,Shopping,Low
Remind me of the marketing project status meeting at 5:00 PM,Reminder,Work,Medium
Remind me to take my Metformin at midnight,Reminder,Health,High
ASAP: Gift ideas for Daniel: book about organic synthesis or a warm scarf this Friday at 3pm,Note,Shopping,High
Don't forget the group study session for Economics at 9:00 AM on June 30th,Reminder,Study,Medium
Remember to check out the grocery deals on June 30th,Reminder,Shopping,Low
Remember to call Sophia about the client contract on this weekend,Reminder,Work,Medium
Remind me to call James on their birthday next week,Reminder,Personal,Medium
Study Computer Science for 5 hours today,Todo,Study,Medium
Remind me to sign up for the Calculus workshop by tomorrow,Reminder,Study,High
Set a reminder to order shampoo before we run out,Reminder,Shopping,Medium
Don't forget to RSVP to Emily's dinner invitation,Reminder,Personal,Medium
Useful study resource for History: http://wikipedia.org/wiki/Calculus,Note,Study,Low
Write unit tests for the ui controllers,Task,Work,Medium
Don't forget the therapy appointment with Alex at 10:30 AM,Reminder,Health,High
Key takeaways about quantum physics from the textbook,Note,Study,Low
Study Physics for 10 hours today,Todo,Study,Medium
Compare features of speaker brands,Todo,Shopping,Low
Remember to call Emma about the client contract on next Monday,Reminder,Work,Medium
Expense breakdown: spent $100 on groceries and $100 on utilities,Note,Finance,Medium
Set a reminder for performance review with Sarah on Friday,Reminder,Work,High
Instructions for deploying notification code,Note,Work,Medium
Remind me to ask Sarah for Chemistry study guides,Reminder,Study,Low
Solve the practice problems in chapter 1 of Physics,Task,Study,Medium
Remind me of the legal project status meeting at midnight,Reminder,Work,Medium
Price details: hand sanitizer is cheaper at Walmart compared to target,Note,Shopping,Low
Gift ideas for Liam: book about modernism or a warm scarf,Note,Shopping,Low
Set a reminder for performance review with Isabella on Friday,Reminder,Work,High
Model name for tablet I want to buy: Version 12,Note,Shopping,Low
Schedule a kickoff meeting for Project Titan,Task,Work,Medium
Set a reminder to practice Physics problems,Reminder,Study,Medium
Remind me to sign up for the Art History workshop by next week,Reminder,Study,High
Don't forget the tutorial session on genetics at 4:15 PM,Reminder,Study,Medium
Gift ideas for Isabella: book about macroeconomics or a warm scarf this Friday at 3pm,Note,Shopping,Low
Memorable moments from the trip to Tokyo,Note,Personal,Low
Book recommendation list: read books on neural networks,Note,Personal,Low
Fix the critical bug in the search engine pipeline,Task,Work,High
Professor mentioned that ancient civilization will be on the final exam,Note,Study,Medium
Purchase a nice birthday gift for Emma by next week,Task,Shopping,Medium
Notes from today's lecture on quantum physics: save for reference in future projects,Note,Study,Low
Useful study resource for Chemistry: https://github.com/trending,Note,Study,Low
Remind me to check stock prices for AMZN at midnight,Reminder,Finance,Low
Don't forget the group study session for Chemistry at midnight on June 30th,Reminder,Study,Medium
Summarize the lecture notes on industrial revolution for Computer Science tonight at 8 PM,Todo,Study,Medium
Remind me of the operations project status meeting at 8:00 PM,Reminder,Work,Medium
ASAP: Gift ideas for Alex: book about industrial revolution or a warm scarf,Note,Shopping,High
Review vocabulary flashcards for History,Todo,Study,Low
Movie wishlist: watch the new documentary about data structures,Note,Personal,Low
Research flight tickets to San Francisco for vacation,Todo,Personal,Medium
Meeting minutes from marketing sync: needs review later,Note,Work,Low
Buy cheese and avocado from the local supermarket,Task,Shopping,Low
Savings plan: save $1000 by the end of October,Note,Finance,Medium
Remind me to ask Isabella for Chemistry study guides by next week,Reminder,Study,Low
Schedule an appointment with Dr. Daniel for annual checkup,Task,Health,High
Summary of Chemistry discussion board posts,Note,Study,Low
Remind me of the engineering project status meeting at midnight,Reminder,Work,Medium
Remind me to take my Eye drops at 9:00 AM,Reminder,Health,High
Notes from today's lecture on cell division: needs review later,Note,Study,Low
Meeting minutes from QA sync: discuss at the next standup meeting,Note,Work,Low
Remind me to ask Sophia for Calculus study guides,Reminder,Study,Low
Calculate travel expenses for the trip to San Francisco,Task,Finance,Medium
Read pages 3 to 10 of the Math textbook tonight at 8 PM,Todo,Study,Medium
ASAP: Sizes list: Isabella wears shoe size 9 and shirt size M,Note,Shopping,High
ASAP: Key takeaways about modernism from the textbook,Note,Study,High
Summarize the lecture notes on neural networks for Computer Science,Todo,Study,Medium
Expense breakdown: spent $1000 on groceries and $500 on utilities,Note,Finance,Medium
Subscription cost tracker: GitHub costs $1200 per month,Note,Finance,Low
Create a list of birthday gift ideas for Sophia,Todo,Personal,Low
Update the project wiki documentation for Falcon,Todo,Work,Low
Write a journal entry about had a relaxing evening with friends,Todo,Personal,Low
Cancel the unused trial subscription to GitHub tomorrow morning,Task,Finance,Medium
Solve the practice problems in chapter 50 of Biology,Task,Study,Medium
Summary of discussion with Michael about genetics,Note,Work,Low
Don't forget the tutorial session on compiler design at noon,Reminder,Study,Medium
Send the draft contract to Stark Industries for review,Task,Work,High
Buy milk and cereal from the local supermarket,Task,Shopping,Low
Schedule a quick alignment call with James about data structures,Todo,Work,Medium
Study Literature for 50 hours today,Todo,Study,Medium
Summary of Economics discussion board posts,Note,Study,Low
Set a reminder for the design sync with Jessica on July 5th,Reminder,Work,Medium
Useful study resource for Economics: http://wikipedia.org/wiki/Biology tonight at 8 PM,Note,Study,Low
Remind me to buy a birthday card for Jessica on July 5th,Reminder,Shopping,Medium
Model name for smartwatch I want to buy: Version 5,Note,Shopping,Low
Study History for 5 hours today tonight at 8 PM,Todo,Study,Medium
Remind me to take my Metformin at 8:00 PM,Reminder,Health,High
"Shopping wishlist: laptop, phone, and a new bag",Note,Shopping,Low
Remind me to sign up for the Biology workshop by tonight (low priority though),Reminder,Study,Low
Remember to call Chris about the client contract on July 5th,Reminder,Work,Medium
Remind me to buy bread when near the market,Reminder,Shopping,Low
Useful study resource for Biology: https://github.com/trending,Note,Study,Low
Remind me to cancel the Gym Membership subscription before Friday,Reminder,Finance,High
Set a reminder for performance review with Liam on next week,Reminder,Work,High
Feedback on the design proposal: save for reference in future projects,Note,Work,Low
Schedule a quick alignment call with Liam about ancient civilization,Todo,Work,Medium
Subscription cost tracker: Gym Membership costs $1200 per month,Note,Finance,Low
Read pages 2 to 3 of the Economics textbook,Todo,Study,Medium
Research ancient civilization for the upcoming Math project,Todo,Study,Medium
Bucket list ideas: visit Lake Tahoe and learn to play the ukulele,Note,Personal,Low
Review team feedback on Project Helix,Todo,Work,Medium
Don't forget the tutorial session on ancient civilization at 9:00 AM,Reminder,Study,Medium
Remind me to check stock prices for TSLA at midnight,Reminder,Finance,Low
Write the essay for History history class,Task,Study,Medium
Medical insurance policy number: 5013,Note,Health,Medium
Set a reminder for the auto-debit of GitHub on Friday,Reminder,Finance,Medium
Pick up avocado and some coffee on my way home,Task,Shopping,Low
Set a reminder for performance review with Alex on Friday,Reminder,Work,High
Set a reminder for the design sync with Chris on tomorrow,Reminder,Work,Medium
Remind me to check stock prices for MSFT at noon,Reminder,Finance,Low
Model name for mouse I want to buy: Version 3,Note,Shopping,Low
Remind me to ask David for Computer Science study guides,Reminder,Study,Low
Listen to educational podcast about quantum physics,Todo,Study,Low
Create a list of birthday gift ideas for Sarah tonight at 8 PM,Todo,Personal,Low
Remind me to sign up for the Literature workshop by this weekend,Reminder,Study,High
Buy yogurt and yogurt from the local supermarket,Task,Shopping,Low
Set a reminder for the auto-debit of Gym Membership on next Monday,Reminder,Finance,Medium
Buy bread and orange juice from the local supermarket,Task,Shopping,Low
Transfer the monthly rent amount to Emma,Task,Finance,High
Bucket list ideas: visit Lake Tahoe and learn to play the piano,Note,Personal,Low
Set a reminder to purchase anniversary flowers on in 3 days,Reminder,Shopping,High
Key takeaways from the tech workshop on ancient civilization,Note,Work,Low
Look for coupons or discounts on dishwashing liquid,Todo,Shopping,Low
Set a reminder to order refills of Lipitor by June 30th,Reminder,Health,High
Savings plan: save $500 by the end of September,Note,Finance,Medium
Concept definition: genetics is defined as recursion algorithms tonight at 8 PM,Note,Study,Low
Summary of Literature discussion board posts this Friday at 3pm,Note,Study,Low
grocery inventory list: need to buy pasta next time,Note,Shopping,Low
Research thermodynamics for the upcoming Economics project,Todo,Study,Medium
Set a reminder for the design sync with Sarah on in 3 days,Reminder,Work,Medium
Schedule a quick alignment call with Emily about neural networks,Todo,Work,Medium
Remember to prepare for the Art History exam on July 5th (low priority though),Reminder,Study,Low
Medical insurance policy number: 125,Note,Health,Medium
Remind me to check stock prices for TSLA at 5:00 PM,Reminder,Finance,Low
Remind me to call Michael on their birthday next week,Reminder,Personal,Medium
Listen to educational podcast about thermodynamics,Todo,Study,Low
Formula list for Physics includes ancient civilization equations,Note,Study,Low
Remind me to sign up for the Physics workshop by June 30th,Reminder,Study,High
Savings plan: save $1000 by the end of February,Note,Finance,Medium
Gift ideas for Chris: book about neural networks or a warm scarf,Note,Shopping,Low
Schedule an appointment with Dr. Michael for annual checkup,Task,Health,High
Professor mentioned that industrial revolution will be on the final exam,Note,Study,Medium
Compare features of smartwatch brands,Todo,Shopping,Low
Solve the practice problems in chapter 10 of Math,Task,Study,Medium
Don't forget the group study session for Physics at noon on July 5th,Reminder,Study,Medium
Research cryptography for the upcoming Art History project,Todo,Study,Medium
Expense breakdown: spent $10 on groceries and $500 on utilities,Note,Finance,Medium
Model name for speaker I want to buy: Version 5,Note,Shopping,Low
Schedule a kickoff meeting for Project Orion,Task,Work,Medium
Remind me to buy a birthday card for Sarah on in 3 days,Reminder,Shopping,Medium
Pick up bread and some coffee on my way home,Task,Shopping,Low
Remind me to buy a birthday card for Liam on at 9 PM,Reminder,Shopping,Medium
Don't forget to send the invoice to Umbrella Corp next week,Reminder,Work,High
Set a reminder to review Chemistry formulas tomorrow,Reminder,Study,Medium
Concept definition: quantum physics is defined as cell reproduction,Note,Study,Low
Don't forget the therapy appointment with Chris at midnight,Reminder,Health,High
Important definitions for Chemistry exam revision,Note,Study,Medium
Send the draft contract to Soylent Corp for review,Task,Work,High
Remind me to take my Amoxicillin at 4:15 PM,Reminder,Health,High
Read pages 50 to 2 of the Chemistry textbook,Todo,Study,Medium
Subscription cost tracker: Slack costs $1000 per month,Note,Finance,Low
Don't forget the group study session for History at 8:00 PM on tomorrow,Reminder,Study,Medium
Project details: Falcon aims to rebuild the payment service,Note,Work,Low
Remember to prepare for the Computer Science exam on Friday,Reminder,Study,High
Set a reminder to order refills of Vitamins by at 9 PM,Reminder,Health,High
Memorable moments from the trip to Boston,Note,Personal,Low
Remind me to ask John for Computer Science study guides,Reminder,Study,Low
Model name for smartwatch I want to buy: Version 3,Note,Shopping,Low
Meeting minutes from design sync: save for reference in future projects,Note,Work,Low
Remind me of the engineering project status meeting at 2:30 PM,Reminder,Work,Medium
Update the monthly budget spreadsheet for November next Monday at noon,Task,Finance,Medium
Check stock availability for laptop at the retail store,Todo,Shopping,Low
Concept definition: organic synthesis is defined as energy transformation,Note,Study,Low
Bucket list ideas: visit Boston and learn to play the saxophone,Note,Personal,Low
Set a reminder for the auto-debit of Gym Membership on Friday,Reminder,Finance,Medium
Remind me to check the database logs at 8:00 PM,Reminder,Work,Medium
Fix the critical bug in the analytics pipeline,Task,Work,High
Remind me to return the Math library book by tonight,Reminder,Study,Medium
Expense breakdown: spent $1200 on groceries and $1000 on utilities,Note,Finance,Medium
Savings plan: save $50 by the end of July,Note,Finance,Medium
Bucket list ideas: visit Paris and learn to play the drums,Note,Personal,Low
Read pages 4 to 1 of the Calculus textbook this Friday at 3pm,Todo,Study,Medium
Schedule a quick alignment call with Sophia about modernism,Todo,Work,Medium
Set a reminder for performance review with Olivia on in 3 days tonight at 8 PM,Reminder,Work,High
Set a reminder to order refills of Lisinopril by tomorrow,Reminder,Health,High
Browse online deals for charger accessories,Todo,Shopping,Low
Summary of discussion with Chris about compiler design tomorrow morning,Note,Work,Low
Remind me to buy yogurt when near the market this Friday at 3pm,Reminder,Shopping,Low
Remind me to feed the pets at 9:00 AM,Reminder,Personal,High
Useful study resource for Art History: https://youtube.com/learn tomorrow morning,Note,Study,Low
Update the monthly budget spreadsheet for January,Task,Finance,Medium
Don't forget to RSVP to Emma's dinner invitation,Reminder,Personal,Medium
Summarize the lecture notes on quantum physics for Calculus,Todo,Study,Medium
Savings plan: save $10 by the end of February,Note,Finance,Medium
Subscription cost tracker: Amazon Prime costs $1200 per month,Note,Finance,Low
Set a reminder to order refills of Amoxicillin by next Monday,Reminder,Health,High
Don't forget the tutorial session on genetics at midnight,Reminder,Study,Medium
Don't forget the group study session for Chemistry at midnight on at 9 PM,Reminder,Study,Medium
Watch the tutorial video on modernism,Todo,Study,Low
Key takeaways about data structures from the textbook by next week,Note,Study,Low
Submit expense report for Alpha reimbursement,Task,Finance,High
Read pages 50 to 4 of the Economics textbook,Todo,Study,Medium
Project details: Alpha aims to rebuild the payment service this Friday at 3pm,Note,Work,Low
Don't forget the group study session for Math at 2:30 PM on June 30th,Reminder,Study,Medium
Compare features of tablet brands,Todo,Shopping,Low
Don't forget the group study session for History at 2:30 PM on tomorrow,Reminder,Study,Medium
Meeting minutes from operations sync: needs review later,Note,Work,Low
Savings plan: save $500 by the end of April,Note,Finance,Medium
Check stock availability for external hard drive at the retail store,Todo,Shopping,Low
Buy apples and spinach from the local supermarket,Task,Shopping,Low
Subscription cost tracker: Adobe Creative Cloud costs $1200 per month,Note,Finance,Low
Shopping list notes: check if we have enough toilet paper at home,Note,Shopping,Low
Model name for monitor I want to buy: Version 50,Note,Shopping,Low
Schedule a kickoff meeting for Project Apollo,Task,Work,Medium
Remind me to buy a birthday card for James on in 3 days tonight at 8 PM,Reminder,Shopping,Medium
Concept definition: linear algebra is defined as supply and demand curves,Note,Study,Low
Research flight tickets to Yosemite for vacation,Todo,Personal,Medium
Remember to call Daniel about the client contract on July 5th,Reminder,Work,Medium
Set a reminder to practice Chemistry problems,Reminder,Study,Medium
Read pages 12 to 50 of the Calculus textbook,Todo,Study,Medium
Summarize the lecture notes on industrial revolution for Literature,Todo,Study,Medium
Set a reminder to practice Computer Science problems,Reminder,Study,Medium
Concept definition: modernism is defined as gradient descent tonight at 8 PM,Note,Study,Low
Remind me to sign up for the History workshop by next week,Reminder,Study,High
Remind me to return the Art History library book by June 30th,Reminder,Study,Medium
Remind me to take my Vitamins at midnight,Reminder,Health,High
Don't forget the group study session for Art History at midnight on at 9 PM,Reminder,Study,Medium
Medical insurance policy number: 5201,Note,Health,Medium
Solve the practice problems in chapter 20 of History by next week,Task,Study,Medium
Gift ideas for Olivia: book about quantum physics or a warm scarf,Note,Shopping,Low
Expense breakdown: spent $500 on groceries and $10 on utilities,Note,Finance,Medium
Remind me to buy avocado when near the market,Reminder,Shopping,Low
Don't forget to RSVP to James's dinner invitation,Reminder,Personal,Medium
Find reference papers on photosynthesis,Todo,Study,Medium
Set a reminder for the auto-debit of Slack on next week,Reminder,Finance,Medium
Hobby idea summary: gardening looks very interesting,Note,Personal,Low
Schedule a quick alignment call with Olivia about linear algebra,Todo,Work,Medium
Savings plan: save $1000 by the end of April,Note,Finance,Medium
Don't forget the group study session for Biology at 9:00 AM on Friday,Reminder,Study,Medium
Remind me to take my Lisinopril at 4:15 PM,Reminder,Health,High
Set a reminder for the auto-debit of Slack on July 5th,Reminder,Finance,Medium
Buy pasta and yogurt from the local supermarket,Task,Shopping,Low
Movie wishlist: watch the new documentary about cryptography,Note,Personal,Low
Pick up spinach and some coffee on my way home,Task,Shopping,Low
Draft the email reply to Wayne Enterprises regarding updates,Todo,Work,Medium
Summary of discussion with David about neural networks,Note,Work,Low
ASAP: Concept definition: ancient civilization is defined as post-modern aesthetics,Note,Study,High
ASAP: Summary of discussion with Jessica about thermodynamics,Note,Work,High
Meeting minutes from sales sync: highly important for final exam by next week,Note,Work,Low
Pick up eggs and some coffee on my way home next Monday at noon,Task,Shopping,Low
Don't forget the therapy appointment with James at midnight tonight at 8 PM,Reminder,Health,High
Set a reminder to practice History problems,Reminder,Study,Medium
Solve the practice problems in chapter 4 of Math,Task,Study,Medium
Remind me to cancel the Adobe Creative Cloud subscription before June 30th,Reminder,Finance,High
Model name for headphones I want to buy: Version 4,Note,Shopping,Low
Set a reminder for the design sync with David on next week,Reminder,Work,Medium
Set a reminder for performance review with Chris on July 5th,Reminder,Work,High
Set a reminder for the design sync with Daniel on in 3 days,Reminder,Work,Medium
Write the essay for Biology history class,Task,Study,Medium
"ASAP: Shopping wishlist: tablet, speaker, and a new bag",Note,Shopping,High
Project details: Apollo aims to rebuild the analytics service,Note,Work,Low
Schedule an appointment with Dr. Sarah for annual checkup next Monday at noon,Task,Health,High
Remind me to cancel the Amazon Prime subscription before Friday,Reminder,Finance,High
Model name for headphones I want to buy: Version 12,Note,Shopping,Low
Subscription cost tracker: Slack costs $10 per month,Note,Finance,Low
Medical insurance policy number: 501010,Note,Health,Medium
Remember to call Sophia about the client contract on in 3 days tomorrow morning,Reminder,Work,Medium
Check stock availability for speaker at the retail store,Todo,Shopping,Low
Meeting minutes from sales sync: discuss at the next standup meeting,Note,Work,Low
Study Chemistry for 2 hours today,Todo,Study,Medium
Remember to check out the grocery deals on this weekend,Reminder,Shopping,Low
Model name for smartwatch I want to buy: Version 10,Note,Shopping,Low
Order a new headphones from online store,Task,Shopping,Medium
Don't forget the group study session for Biology at 2:30 PM on at 9 PM,Reminder,Study,Medium
Remind me of the HR project status meeting at 4:15 PM,Reminder,Work,Medium
Drink at least 3 glasses of water today tonight at 8 PM,Todo,Health,Medium
Review team feedback on Project Genesis,Todo,Work,Medium
Remind me to cancel the Spotify subscription before June 30th,Reminder,Finance,High
Meeting minutes from sales sync: needs review later,Note,Work,Low
Brainstorm thesis statements for Biology,Todo,Study,Medium
Schedule a quick alignment call with David about photosynthesis,Todo,Work,Medium
ASAP: Research question idea: how does compiler design impact modern science,Note,Study,High
Remember to call Emma about the client contract on this weekend,Reminder,Work,Medium
Buy cheese and eggs from the local supermarket,Task,Shopping,Low
Don't forget the therapy appointment with Chris at 4:15 PM,Reminder,Health,High
Remind me to ask James for Computer Science study guides,Reminder,Study,Low
Review team feedback on Project Falcon by next week,Todo,Work,Medium
Medical insurance policy number: 2014,Note,Health,Medium
Medical insurance policy number: 2022 by next week,Note,Health,Medium
Schedule a quick alignment call with Emma about quantum physics tonight at 8 PM,Todo,Work,Medium
Update the monthly budget spreadsheet for June,Task,Finance,Medium
Read pages 3 to 3 of the Calculus textbook tomorrow morning,Todo,Study,Medium
Deploy the new version of notification to production,Task,Work,High
Summarize the lecture notes on data structures for Art History,Todo,Study,Medium
Study Physics for 20 hours today,Todo,Study,Medium
Project details: Alpha aims to rebuild the dashboard service,Note,Work,Low
Key takeaways from the tech workshop on neural networks,Note,Work,Low
Don't forget the therapy appointment with James at 2:30 PM,Reminder,Health,High
Remind me to check stock prices for META at 4:15 PM,Reminder,Finance,Low
Don't forget the therapy appointment with David at 10:30 AM,Reminder,Health,High
Don't forget the group study session for Literature at 10:30 AM on tomorrow,Reminder,Study,Medium
Don't forget the therapy appointment with Daniel at 10:30 AM this Friday at 3pm,Reminder,Health,High
Drink at least 20 glasses of water today,Todo,Health,Medium
Set a reminder for the design sync with James on July 5th,Reminder,Work,Medium
Solve the practice problems in chapter 1 of Calculus,Task,Study,Medium
Project details: Genesis aims to rebuild the ui service,Note,Work,Low
Don't forget the group study session for Physics at 10:30 AM on at 9 PM,Reminder,Study,Medium
Calculate travel expenses for the trip to London,Task,Finance,Medium
Notes from today's lecture on industrial revolution: highly important for final exam,Note,Study,Low
"ASAP: Shopping wishlist: mouse, external hard drive, and a new bag",Note,Shopping,High
Remind me of the product project status meeting at noon,Reminder,Work,Medium
Concept definition: genetics is defined as eigenvalues and eigenvectors,Note,Study,Low
Remind me to ask Alex for Computer Science study guides tomorrow morning,Reminder,Study,Low
